date,reference,description,currency,amount,source,targets
2024-03-27,TX-0316,Card payment,USD,431.65,assets:checking,liabilities:card
2024-03-27,TX-0317,Travel,USD,266.79,assets:checking,expenses:travel
2024-03-28,TX-0318,Office supplies,USD,332.88,assets:checking,expenses:office
2024-03-28,TX-0319,Salary,USD,5743.13,income:salary,assets:checking
2024-03-28,TX-0320,Salary,USD,3552.87,income:salary,assets:checking
2024-03-28,TX-0321,Team meal,USD,159.51,assets:checking,expenses:meals:bob|expenses:meals:dan
2024-03-28,TX-0322,Hardware,USD,1355.78,assets:checking,expenses:hardware
2024-03-28,TX-0323,Team meal,USD,174.86,assets:checking,expenses:meals:bob|expenses:meals:alice|expenses:meals:dan
2024-03-28,TX-0324,Software subscription,USD,1366.25,assets:checking,expenses:software
2024-03-28,TX-0325,Consulting invoice,USD,8984.90,income:consulting,assets:checking
2024-03-28,TX-0326,Team meal,USD,52.50,assets:checking,expenses:meals:bob|expenses:meals:carol|expenses:meals:alice|expenses:meals:dan
2024-03-29,TX-0327,Shipping,EUR,95.72,assets:eur-savings,expenses:shipping@1|expenses:travel@1
2024-03-29,TX-0328,Consulting invoice,USD,4266.87,income:consulting,assets:checking
2024-03-29,TX-0329,Utilities,USD,551.29,liabilities:card,expenses:utilities
2024-03-29,TX-0330,Marketing spend,USD,192.67,liabilities:card,expenses:marketing
2024-03-29,TX-0331,Software subscription,EUR,810.01,assets:eur-savings,expenses:software@1|expenses:office@3
2024-03-30,TX-0332,Shared cost allocation,USD,2739.94,assets:checking,expenses:shipping@3|expenses:training@1
2024-03-30,TX-0333,Training,USD,1170.06,assets:checking,expenses:training
2024-03-30,TX-0334,Team meal,USD,176.76,assets:checking,expenses:meals:bob|expenses:meals:dan|expenses:meals:alice
2024-03-30,TX-0335,Team meal,USD,93.29,assets:checking,expenses:meals:alice|expenses:meals:bob|expenses:meals:carol|expenses:meals:dan
2024-03-31,TX-0336,Shipping,USD,18.45,liabilities:card,expenses:shipping
